36 4 2 2
 0.0031912915 0011 0011
-0.0002352601 0011 1001
-0.0000000000 0011 1010
 0.0000099154 0011 1100
 0.0000000000 0011 0101
-0.0001829242 0011 0110
-0.0002352601 1001 0011
-0.0271274006 1001 1001
-0.0000000000 1001 1010
 0.0008088521 1001 1100
 0.0000000000 1001 0101
 0.0281516173 1001 0110
 0.0000000000 1010 0011
-0.0000000000 1010 1001
-0.0319450007 1010 1010
 0.0000000000 1010 1100
 0.0281615327 1010 0101
-0.0000000000 1010 0110
 0.0000099154 1100 0011
 0.0008088521 1100 1001
 0.0000000000 1100 1010
 0.9967813831 1100 1100
 0.0000000000 1100 0101
-0.0002596570 1100 0110
-0.0000000000 0101 0011
 0.0000000000 0101 1001
 0.0281615327 0101 1010
 0.0000000000 0101 1100
-0.0249794710 0101 0101
 0.0000000000 0101 0110
-0.0001829242 0110 0011
 0.0281516173 0110 1001
-0.0000000000 0110 1010
-0.0002596570 0110 1100
 0.0000000000 0110 0101
-0.0293861340 0110 0110
