Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.1052194448   -2.1321528052   -2.1300421536
0.05   -2.1486075787   -2.1753890013   -2.1734767176
0.10   -2.1760254456   -2.2024406032   -2.2006983171
0.15   -2.1930872346   -2.2191683452   -2.2174869141
0.20   -2.2038038516   -2.2295567093   -2.2278731341
0.25   -2.2105582632   -2.2360300084   -2.2343221712
0.30   -2.2147967756   -2.2400538032   -2.2383131496
0.35   -2.2173745434   -2.2424816214   -2.2407016349
0.40   -2.2187797050   -2.2437898594   -2.2419697532
0.45   -2.2192353030   -2.2442063275   -2.2423665817
