Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0521600051   -2.0938702272   -2.0895984745
0.05   -2.1038752474   -2.1440957934   -2.1424948345
0.10   -2.1477865278   -2.1873444592   -2.1859057245
0.15   -2.1753225194   -2.2145178009   -2.2131222740
0.20   -2.1923132611   -2.2311358878   -2.2297703519
0.25   -2.2029805236   -2.2413980475   -2.2400194776
0.30   -2.2097467913   -2.2478203439   -2.2463914790
0.35   -2.2138922047   -2.2518194179   -2.2503431282
0.40   -2.2161476586   -2.2542128728   -2.2527113344
0.45   -2.2171113049   -2.2554961163   -2.2539689267
0.50   -2.2177434239   -2.2559862453   -2.2543643160
