Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0371005648   -2.1288136873   -2.1294586574
0.05   -2.0847934258   -2.1724148395   -2.1730555892
0.10   -2.1151261599   -2.1996557514   -2.2003046438
0.15   -2.1341555484   -2.2164211190   -2.2171023405
0.20   -2.1462508419   -2.2267585972   -2.2274889471
0.25   -2.1540345312   -2.2331493760   -2.2339335522
0.30   -2.1590352365   -2.2370868211   -2.2379180826
0.35   -2.1621300067   -2.2394333664   -2.2402999336
0.40   -2.1638163831   -2.2406737417   -2.2415623371
0.45   -2.1643519071   -2.2410604677   -2.2419567022
