CAS SPACE         CAS              TCCSD            CASCCSD    
(4,4)   -56.1596549334   -56.2910576254   -56.2910792387
(6,6)   -56.1716463356   -56.2915629782   -56.2911135603
(8,8)   -56.1829831079   -56.2917891282   -56.2912389139
(10,10)   -56.1884026330   -56.2919603552   -56.2913015291
(10,11)   -56.2128364627   -56.2928641144   -56.2914348617
(10,12)   -56.2280553556   -56.2931793683   -56.2915737804
(10,13)   -56.2530774112   -56.2938651869   -56.2920867536
(10,14)   -56.2804185737   -56.2936312066   -56.2928071489
(10,15)   -56.2931080544   -56.2931080481   -56.2931081013
