3a 3b 4a -> 8a 8b 10a   0.001298
3a 3b 4a -> 9a 9b 10a   0.001298
3a 3b 4a -> 10a 8b 8a  -0.001298
3a 3b 4a -> 10a 9b 9a  -0.001298
3a 4b 5a -> 8a 9b 9a   0.003836
3a 4b 5a -> 8a 10b 10a   0.000215
3a 4b 5a -> 9a 9b 8a  -0.003836
3a 4b 5a -> 10a 10b 8a  -0.000215
3a 4b 6a -> 8a 8b 9a  -0.003836
3a 4b 6a -> 9a 8b 8a   0.003836
3a 4b 6a -> 9a 10b 10a   0.000215
3a 4b 6a -> 10a 10b 9a  -0.000215
3a 4b 7a -> 8a 8b 10a   0.003769
3a 4b 7a -> 9a 9b 10a   0.003769
3a 4b 7a -> 10a 8b 8a  -0.003769
3a 4b 7a -> 10a 9b 9a  -0.003769
3a 5b 4a -> 8a 9b 9a  -0.000666
3a 5b 4a -> 8a 10b 10a  -0.000021
3a 5b 4a -> 9a 9b 8a   0.000666
3a 5b 4a -> 10a 10b 8a   0.000021
3a 6b 4a -> 8a 8b 9a   0.000666
3a 6b 4a -> 9a 8b 8a  -0.000666
3a 6b 4a -> 9a 10b 10a  -0.000021
3a 6b 4a -> 10a 10b 9a   0.000021
3a 7b 4a -> 8a 8b 10a   0.001848
3a 7b 4a -> 9a 9b 10a   0.001848
3a 7b 4a -> 10a 8b 8a  -0.001848
3a 7b 4a -> 10a 9b 9a  -0.001848
4a 3b 3a -> 8a 8b 10a  -0.001298
4a 3b 3a -> 9a 9b 10a  -0.001298
4a 3b 3a -> 10a 8b 8a   0.001298
4a 3b 3a -> 10a 9b 9a   0.001298
4a 3b 5a -> 8a 9b 9a   0.004502
4a 3b 5a -> 8a 10b 10a   0.000236
4a 3b 5a -> 9a 9b 8a  -0.004502
4a 3b 5a -> 10a 10b 8a  -0.000236
4a 3b 6a -> 8a 8b 9a  -0.004502
4a 3b 6a -> 9a 8b 8a   0.004502
4a 3b 6a -> 9a 10b 10a   0.000236
4a 3b 6a -> 10a 10b 9a  -0.000236
4a 3b 7a -> 8a 8b 10a   0.001922
4a 3b 7a -> 9a 9b 10a   0.001922
4a 3b 7a -> 10a 8b 8a  -0.001922
4a 3b 7a -> 10a 9b 9a  -0.001922
4a 5b 3a -> 8a 9b 9a   0.000666
4a 5b 3a -> 8a 10b 10a   0.000021
4a 5b 3a -> 9a 9b 8a  -0.000666
4a 5b 3a -> 10a 10b 8a  -0.000021
4a 5b 5a -> 8a 8b 10a  -0.001240
4a 5b 5a -> 9a 9b 10a  -0.000313
4a 5b 5a -> 10a 8b 8a   0.001240
4a 5b 5a -> 10a 9b 9a   0.000313
4a 5b 6a -> 8a 9b 10a  -0.000280
4a 5a 6a -> 8a 9a 10a   0.000597
4a 5b 6a -> 8a 10b 9a  -0.000231
4a 5a 6a -> 8a 10a 9a  -0.000597
4a 5b 6a -> 9a 8b 10a  -0.000646
4a 5a 6a -> 9a 8a 10a  -0.000597
4a 5b 6a -> 9a 10b 8a   0.000231
4a 5a 6a -> 9a 10a 8a   0.000597
4a 5b 6a -> 10a 8b 9a   0.000646
4a 5a 6a -> 10a 8a 9a   0.000597
4a 5b 6a -> 10a 9b 8a   0.000280
4a 5a 6a -> 10a 9a 8a  -0.000597
4a 5b 7a -> 8a 9b 9a   0.000273
4a 5b 7a -> 8a 10b 10a   0.000218
4a 5b 7a -> 9a 9b 8a  -0.000273
4a 5b 7a -> 10a 10b 8a  -0.000218
4a 6b 3a -> 8a 8b 9a  -0.000666
4a 6b 3a -> 9a 8b 8a   0.000666
4a 6b 3a -> 9a 10b 10a   0.000021
4a 6b 3a -> 10a 10b 9a  -0.000021
4a 6b 5a -> 8a 9b 10a  -0.000646
4a 6a 5a -> 8a 9a 10a  -0.000597
4a 6b 5a -> 8a 10b 9a   0.000231
4a 6a 5a -> 8a 10a 9a   0.000597
4a 6b 5a -> 9a 8b 10a  -0.000280
