 0.1085624201929E-02  1b -> 3b             
 0.8374292229110E-04  1b -> 5b             
 0.5488287680337E-03  2b -> 4b             
-0.9388293922641E-04  2b -> 10b            
 0.1085624201929E-02  1a -> 3a             
 0.8374292229110E-04  1a -> 5a             
 0.5488287680337E-03  2a -> 4a             
-0.9388293922641E-04  2a -> 10a            
 0.2970090527414E-03  1b 2b -> 3b 4b       
-0.1126102062114E-02  1b 2b -> 4b 5b       
-0.7049464395274E-03  1b 2b -> 6b 8b       
-0.7049464395274E-03  1b 2b -> 7b 9b       
-0.9786184108517E-03  1b 2b -> 3b 10b      
-0.1234376177761E-02  1b 2b -> 5b 10b      
-0.3408903185837E-01  1a 1b -> 3a 3b       
-0.7804863531921E-04  1a 1b -> 5a 3b       
-0.7804863531921E-04  1a 1b -> 3a 5b       
-0.1669497833074E-01  1a 1b -> 5a 5b       
-0.3741087201212E-01  2a 2b -> 3a 3b       
 0.8297142648924E-04  2a 2b -> 5a 3b       
 0.8297142648924E-04  2a 2b -> 3a 5b       
-0.1582056737817E-01  2a 2b -> 5a 5b       
-0.1530824314515E-01  1a 1b -> 9a 9b       
-0.1692946992541E-01  2a 2b -> 9a 9b       
-0.1530824314515E-01  1a 1b -> 8a 8b       
-0.1692946992541E-01  2a 2b -> 8a 8b       
-0.2779033466689E-01  1a 1b -> 4a 4b       
-0.1435880929292E-03  1a 1b -> 10a 4b      
-0.1435880929292E-03  1a 1b -> 4a 10b      
-0.1485309732361E-01  1a 1b -> 10a 10b     
-0.3066766120824E-01  2a 2b -> 4a 4b       
 0.1234089758255E-03  2a 2b -> 10a 4b      
 0.1234089758255E-03  2a 2b -> 4a 10b      
-0.1650560496411E-01  2a 2b -> 10a 10b     
-0.1603447734215E-01  1a 1b -> 6a 6b       
-0.1624598791083E-01  2a 2b -> 6a 6b       
-0.1603447734215E-01  1a 1b -> 7a 7b       
-0.1624598791083E-01  2a 2b -> 7a 7b       
-0.3125054357199E-01  1a 2b -> 3a 4b       
 0.5306995072342E-02  1a 2b -> 5a 4b       
-0.5512782780013E-02  1a 2b -> 3a 10b      
-0.1617357989893E-01  1a 2b -> 5a 10b      
-0.3154755262473E-01  2a 1b -> 3a 4b       
 0.4180893010228E-02  2a 1b -> 5a 4b       
-0.4534164369161E-02  2a 1b -> 3a 10b      
-0.1493920372117E-01  2a 1b -> 5a 10b      
-0.1577838801192E-01  1a 2b -> 9a 7b       
-0.1648333445144E-01  2a 1b -> 9a 7b       
-0.1577838801192E-01  1a 2b -> 8a 6b       
-0.1648333445144E-01  2a 1b -> 8a 6b       
-0.3154755262473E-01  1a 2b -> 4a 3b       
