Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0662809985   -2.0793987164   -2.0787584574
0.05   -2.1181368363   -2.1312991591   -2.1304868852
0.10   -2.1616833954   -2.1746914224   -2.1737949665
0.15   -2.1890050507   -2.2018518172   -2.2009719923
0.20   -2.2058031051   -2.2186167662   -2.2177451019
0.25   -2.2154926006   -2.2286745624   -2.2279382760
0.30   -2.2221277744   -2.2351402636   -2.2343835573
0.35   -2.2262640515   -2.2391412287   -2.2383711314
0.40   -2.2287589277   -2.2415360073   -2.2407561324
0.45   -2.2300931633   -2.2428081593   -2.2420205527
0.50   -2.2305124994   -2.2432064565   -2.2424156816
