Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0579325088   -2.0957575358   -2.0912026136
0.05   -2.1112949730   -2.1441575427   -2.1426812924
0.10   -2.1549219724   -2.1875709448   -2.1860902543
0.15   -2.1823809398   -2.2147684476   -2.2133062550
0.20   -2.1992676417   -2.2313465172   -2.2299485501
0.25   -2.2103218110   -2.2413594649   -2.2400644644
0.30   -2.2172407017   -2.2477406821   -2.2464343222
0.35   -2.2216543037   -2.2517094320   -2.2503857008
0.40   -2.2243829300   -2.2540928192   -2.2527545585
0.45   -2.2258819231   -2.2553598989   -2.2540110935
0.50   -2.2263631706   -2.2557558460   -2.2544027070
