Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0215668301   -2.0916760624   -2.0893833780
0.05   -2.0748224596   -2.1414059828   -2.1422592894
0.10   -2.1208157916   -2.1849430419   -2.1857393917
0.15   -2.1505455059   -2.2121275653   -2.2130023324
0.20   -2.1686367955   -2.2285598328   -2.2296775652
0.25   -2.1793464542   -2.2386140218   -2.2399352746
0.30   -2.1858253050   -2.2448488366   -2.2463089733
0.35   -2.1898221389   -2.2487451315   -2.2502616093
0.40   -2.1925208420   -2.2512098601   -2.2526338206
0.45   -2.1948452377   -2.2528046012   -2.2538990716
0.50   -2.1962522734   -2.2534954118   -2.2542975825
