Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0765060361   -2.0961053745   -2.0926570577
0.05   -2.1260618894   -2.1454050956   -2.1434012470
0.10   -2.1688530657   -2.1883790496   -2.1866085434
0.15   -2.1960120881   -2.2154466541   -2.2137714621
0.20   -2.2129225548   -2.2320257675   -2.2303998816
0.25   -2.2235450558   -2.2422395279   -2.2406408551
0.30   -2.2302966394   -2.2485941569   -2.2470122823
0.35   -2.2345979565   -2.2525293425   -2.2509699250
0.40   -2.2372799747   -2.2548822269   -2.2533488924
0.45   -2.2388096900   -2.2561392498   -2.2546157595
0.50   -2.2393312304   -2.2565393966   -2.2550117855
