Alpha         CAS              TCCSD            CASCCSD    
0.00   -2.0573557095   -2.1282396151   -2.1294406335
0.05   -2.1023499852   -2.1720210866   -2.1730592712
0.10   -2.1306966930   -2.1993893141   -2.2003089228
0.15   -2.1484093292   -2.2162352333   -2.2171030380
0.20   -2.1596569125   -2.2266064696   -2.2274867480
0.25   -2.1669098987   -2.2329796974   -2.2339302529
0.30   -2.1715953392   -2.2368523995   -2.2379156496
0.35   -2.1745200816   -2.2391079747   -2.2402997413
0.40   -2.1761279520   -2.2402674382   -2.2415645316
0.45   -2.1766412320   -2.2406214178   -2.2419599162
